epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.9861,2.80665,3.84448,2.15467,0.01647,0.3224,0.01354,0.0049,2.67213,3.80691,2.0854,3.334e-05,3.334e-05,3.334e-05
2,20.6448,2.87402,3.80888,2.2781,0.01609,0.30055,0.01315,0.00519,2.54747,3.76304,1.96292,8.25248e-05,8.25248e-05,8.25248e-05
3,29.3358,2.79414,3.87686,2.15135,0.01368,0.23497,0.0134,0.00549,2.41333,3.71925,1.86242,0.000130719,0.000130719,0.000130719
4,37.8872,2.55693,3.74236,1.9264,0.01625,0.2623,0.04863,0.01568,2.2418,3.67284,1.72336,0.000177924,0.000177924,0.000177924
5,46.3691,2.46817,3.74695,1.92927,0.01789,0.28415,0.10574,0.03396,2.15934,3.65153,1.65426,0.000224138,0.000224138,0.000224138
6,55.083,2.42702,3.64423,1.88649,0.02017,0.31694,0.11975,0.03888,2.07208,3.64863,1.58709,0.000269362,0.000269362,0.000269362
7,63.6181,2.24193,3.63169,1.75095,0.02058,0.3224,0.11301,0.04289,2.10401,3.65509,1.59174,0.000313596,0.000313596,0.000313596
8,72.2026,2.16256,3.43771,1.68459,0.02207,0.34973,0.10849,0.04151,2.17456,3.65513,1.64741,0.00035684,0.00035684,0.00035684
9,80.8363,2.27545,3.42606,1.70167,0.02313,0.36066,0.12963,0.04174,2.16415,3.6607,1.66009,0.000399093,0.000399093,0.000399093
10,89.5418,2.19037,3.26209,1.598,0.02583,0.39891,0.14307,0.04759,2.15361,3.65652,1.66351,0.000440356,0.000440356,0.000440356
11,98.1297,2.13324,2.96886,1.60523,0.02799,0.43716,0.17711,0.05026,2.14975,3.63777,1.65111,0.000480629,0.000480629,0.000480629
12,106.796,2.11844,2.77934,1.50033,0.03118,0.48634,0.19001,0.0511,2.16018,3.62046,1.64378,0.000519912,0.000519912,0.000519912
13,115.524,2.24885,2.76559,1.50131,0.03537,0.53552,0.22761,0.06044,2.2023,3.58756,1.65598,0.000558205,0.000558205,0.000558205
14,124.061,2.27711,2.60296,1.5224,0.03607,0.54098,0.27206,0.07458,2.17687,3.5523,1.60358,0.000595507,0.000595507,0.000595507
15,132.568,2.16088,2.46094,1.45278,0.03607,0.54098,0.27206,0.07458,2.17687,3.5523,1.60358,0.00063182,0.00063182,0.00063182
16,141.103,2.08795,2.49512,1.46339,0.02993,0.45355,0.1897,0.04947,2.1406,3.55448,1.6044,0.000667142,0.000667142,0.000667142
